train_no,train_name,source,destination,arival_time,fare
12036,Af Jp Shatabdi,Agra Fort,Jaipur,02:30,1600.3
15055,Af Rmr Express,Agra Fort,Ramnagar,22:30,700.5
12954,Ag Kranti Rajdhani,H Nizamuddin,Mumbai Central,23:30,700.7
12320,Agc Koaa Express,Agra Cantt,Kolkata,00:30,2000.3
13168,Agc Koaa Express,Agra Cantt,Kolkata,01:30,500.2
1436,Agc Pune Special,Agra Cantt,Pune Junction,02:30,2000.3
12342,Agnibina Express,Asansol Junction,Howrah Junction,22:30,500.2
12341,Agnibina Express,Howrah Junction,Asansol Junction,22:30,1001.2
12548,Agra Super Fast,Ahmedabad Junction,Agra Fort,23:30,1500.9
52575,Agtl Dmr Passenger,Agartala,Dharmanagar,00:30,1600.3
22645,Ahilyanagari Express,Indore Junction Bg,Trivandrum Cntl,01:30,700.5
22646,Ahilyanagari Express,Trivandrum Cntl,Indore Junction Bg,02:30,700.7
11095,Ahimsa Express,Ahmedabad Junction,Pune Junction,22:30,2000.3
11096,Ahimsa Express,Pune Junction,Ahmedabad Junction,22:30,500.2
16502,Ahmadabad Express,Yesvantpur Junction,Ahmedabad Junction,23:30,1001.2
59439,Ahmadabad Passenger,Mumbai Central,Ahmedabad Junction,00:30,1500.9
59440,Ahmadabad Passenger,Ahmedabad Junction,Borivali,01:30,1600.3
19405,Ahmedabad Ac Express,Yesvantpur Junction,Ahmedabad Junction,02:30,700.5
11050,Ahmedabad Express,C Shahumharaj T,Ahmedabad Junction,22:30,700.7
59441,Ahmedabad Passenger,Mumbai Central,Nandurbar,23:30,2000.3
59442,Ahmedabad Passenger,Ahmedabad Junction,Mumbai Central,00:30,500.2
9649,Aii Adi Special,Ajmer Junction,Ahmedabad Junction,01:30,2000.3
12196,Aii Af Intercity,Ajmer Junction,Agra Fort,02:30,500.2
5712,Aii Apdj Special,Ajmer Junction,Alipur Duar Junction,22:30,1001.2
22996,Aii Bdts Superfast Express,Ajmer Junction,Bandra Terminus,22:30,1500.9
9611,Aii Bdts Special,Ajmer Junction,Bandra Terminus,23:30,1600.3
9619,Aii Bdts Urs Special,Ajmer Junction,Bandra Terminus,00:30,700.5
9602,Aii Beas Special,Ajmer Junction,Udaipur City,01:30,700.7
9601,Aii Beas Special,Ajmer Junction,Beas,02:30,2000.3
13424,Aii Bgp Express,Ajmer Junction,Bhagalpur,22:30,500.2
5286,Aii Bju Special,Ajmer Junction,Barauni Junction,23:30,1001.2
12983,Aii Cdg G Rath,Ajmer Junction,Chandigarh,00:30,1500.9
5104,Aii Cpr Special,Ajmer Junction,Chhapra,01:30,2000.3
5238,Aii Dbg Special,Ajmer Junction,Darbhanga Junction,02:30,500.2
12990,Aii Ddr Express,Ajmer Junction,Dadar,22:30,1001.2
9627,Aii Dee Superfast Special,Ajmer Junction,Delhi S Rohilla,22:30,1500.9
4042,Aii Dli Superfast Special,Ajmer Junction,Delhi,23:30,1600.3
18208,Aii Durg Express,Ajmer Junction,Durg,00:30,2000.3
19609,Aii Hw Express,Ajmer Junction,Haridwar Junction,01:30,500.2
9640,Aii Hw Special,Ajmer Junction,Haridwar Junction,02:30,1001.2
3002,Aii Hwh Special,Ajmer Junction,Howrah Junction,22:30,1500.9
17019,Aii Hyb Express,Ajmer Junction,Hyderabad Decan,22:30,1600.3
12719,Aii Hyb Superfast Express,Ajmer Junction,Hyderabad Decan,23:30,700.5
7126,Aii Hyb Special,Ajmer Junction,Hyderabad Decan,00:30,700.7
7019,Aii Hyb Special,Ajmer Junction,Hyderabad Decan,01:30,2000.3
9312,Aii Indb Special,Ajmer Junction,Indore Junction Bg,02:30,500.2
12066,Aii Jan Shatabd,H Nizamuddin,Ajmer Junction,22:30,1001.2
12413,Aii Jat Express,Ajmer Junction,Jammu Tawi,23:30,1500.9
9621,Aii Jp Intercity,Ajmer Junction,Jaipur,00:30,1600.3
9625,Aii Jp Superfast Special,Ajmer Junction,Jaipur,01:30,700.5
54802,Aii Ju Fast Passenger,Ajmer Junction,Jodhpur Junction,02:30,700.7
7130,Aii Kcg Special,Ajmer Junction,Kacheguda,22:30,2000.3
3138,Aii Koaa Special,Ajmer Junction,Howrah Junction,22:30,500.2
19608,Aii Koaa Express,Ajmer Junction,Kolkata,23:30,2000.3
16209,Aii Mys Express,Ajmer Junction,Mysore Junction,00:30,500.2
22211,Aii Nzm Duronto,Ajmer Junction,H Nizamuddin,01:30,1001.2
18422,Aii Puri Express,Ajmer Junction,Puri,02:30,1500.9
8422,Aii Puri Express,Ajmer Junction,Puri,22:30,1600.3
19654,Aii Rtm Express,Ajmer Junction,Ratlam Junction,23:30,700.5
12988,Aii Sdah Express,Ajmer Junction,Sealdah,00:30,700.7
3180,Aii Sdah Superfast Special,Ajmer Junction,Sealdah,01:30,2000.3
19603,Aii Sln Express,Ajmer Junction,Sultanpur,02:30,500.2
19607,Aii Wkly Express,Kolkata,Ajmer Junction,22:30,1001.2
17064,Ajanta Express,Secunderabad Junction,Manmad Junction,22:30,1500.9
17063,Ajanta Express,Manmad Junction,Secunderabad Junction,23:30,1600.3
19613,Ajmer Asr Express,Ajmer Junction,Amritsar Junction,00:30,700.5
19611,Ajmer Asr Express,Ajmer Junction,Amritsar Junction,01:30,700.7
12989,Ajmer Express,Dadar,Ajmer Junction,02:30,2000.3
16210,Ajmer Express,Mysore Junction,Ajmer Junction,22:30,500.2
19411,Ajmer Intercity,Ahmedabad Junction,Ajmer Junction,22:30,2000.3
12015,Ajmer Shatabdi,New Delhi,Ajmer Junction,23:30,500.2
12016,Ajmer Shatabdi,Ajmer Junction,New Delhi,00:30,1001.2
9650,Ajmer Special,Ahmedabad Junction,Ajmer Junction,01:30,1500.9
12120,Ajni Ami Express,Nagpur,Amravati,02:30,1600.3
11202,Ajni Ltt Express,Ajni,Lokmanyatilak T,22:30,700.5
17640,Ak Kcg Express,Akola Junction,Kacheguda,23:30,700.7
52994,Ak Mhow F Passenger,Akola Junction,Mhow,00:30,2000.3
7507,Ak Qln Special,Akola Junction,Kollam Junction,01:30,500.2
12318,Akal Takhat Express,Amritsar Junction,Sealdah,02:30,1001.2
12317,Akal Takht Express,Sealdah,Amritsar Junction,22:30,1500.9
14311,Ala Hazrat Express,Bareilly,Bhuj,22:30,2000.3
14312,Ala Hazrat Express,Bhuj,Bareilly,23:30,500.2
7092,Ald Hyb Special,Allahabad Junction,Hyderabad Decan,00:30,1001.2
19418,Ald Adi Express,Allahabad Junction,Ahmedabad Junction,01:30,1500.9
9430,Ald Adi Special,Allahabad Junction,Ahmedabad Junction,02:30,1600.3
4421,Ald Anvt Superfast Special,Allahabad Junction,Anand Vihar Trm,22:30,2000.3
7240,Ald Cct Special,Allahabad Junction,Kakinada Town,23:30,500.2
4001,Ald Dli Superfast Special,Allahabad Junction,Delhi,00:30,1001.2
12276,Ald Duronto Express,New Delhi,Allahabad Junction,01:30,1500.9
12293,Ald Duronto Express,Lokmanyatilak T,Allahabad Junction,02:30,1600.3
14115,Ald Hw Express,Allahabad Junction,Haridwar Junction,22:30,700.5
4120,Ald Hwh Special,Allahabad Junction,Howrah Junction,22:30,700.7
22442,Ald Intercity,Kanpur Central,Allahabad Junction,23:30,2000.3
4121,Ald Jat Ac Special,Allahabad Junction,Jammu Tawi,00:30,500.2
4131,Ald Jat Premium,Allahabad Junction,Jammu Tawi,01:30,1001.2
12403,Ald Jp Express,Allahabad Junction,Jaipur,02:30,1500.9
12294,Ald Ltt Duronto,Allahabad Junction,Lokmanyatilak T,22:30,1600.3
4127,Ald Ltt Premium,Allahabad Junction,Lokmanyatilak T,22:30,700.5
12564,Ald Ltt Superfast Express,Allahabad Junction,Lokmanyatilak T,23:30,700.7
1006,Ald Ltt Special,Allahabad Junction,Lokmanyatilak T,00:30,2000.3
4115,Ald Ltt Special,Allahabad Junction,Lokmanyatilak T,01:30,500.2
4111,Ald Ndls Superfast Special,Allahabad Junction,New Delhi,02:30,2000.3
4423,Ald Ndls Special,Allahabad Junction,New Delhi,22:30,500.2
7514,Ald Ned Special,Allahabad Junction,Nanded,23:30,1001.2
7512,Ald Ned Special,Allahabad Junction,Nanded,00:30,1500.9
4113,Ald Uhp Special,Allahabad Junction,Udhampur,01:30,1600.3
8576,Ald Vskp Special,Allahabad Junction,Vishakapatnam,02:30,700.5
9429,Allahabad Special,Ahmedabad Junction,Allahabad Junction,22:30,700.7
22639,Alleppey Express,Chennai Central,Alleppey,22:30,2000.3
16308,Alleppey Express,Kannur,Alleppey,23:30,500.2
12587,Amar Nath Express,Gorakhpur Junction,Jammu Tawi,00:30,1001.2
18047,Amaravathi Express,Howrah Junction,Vasco Da Gama,01:30,1500.9
17225,Amaravathi Express,Vijayawada Junction,Hubli Junction,02:30,1600.3
17226,Amaravati Express,Hubli Junction,Kacheguda,22:30,700.5
12853,Amarkantak Express,Durg,Bhopal Junction,23:30,700.7
12854,Amarkantak Express,Bhopal Junction,Durg,00:30,2000.3
15098,Amarnath Express,Jammu Tawi,Bhagalpur,01:30,500.2
15097,Amarnath Express,Bhagalpur,Jammu Tawi,02:30,2000.3
15653,Amarnath Express,Guwahati,Jammu Tawi,22:30,500.2
11265,Ambikapur Express,Jabalpur,Ambikapur,22:30,1001.2
13138,Amh Koaa Express,Azamgarh,Kolkata,23:30,1500.9
11054,Amh Ltt Express,Azamgarh,Lokmanyatilak T,00:30,1600.3
12119,Ami Ajni Express,Amravati,Ajni,01:30,700.5
12159,Ami Jbp Superfast Express,Amravati,Jabalpur,02:30,700.7
11406,Ami Pune Express,Amravati,Pune Junction,22:30,2000.3
12766,Ami Tpty Superfast Express,Amravati,Tirupati,22:30,500.2
9050,Ami Udn Passenger Special,Amravati,Udhna Junction,23:30,1001.2
12112,Amravati Cstm E,Amravati,Mumbai Cst,00:30,1500.9
16343,Amritha Express,Trivandrum Cntl,Palghat Town,01:30,2000.3
16344,Amritha Express,Palghat Town,Trivandrum Cntl,02:30,500.2
12483,Amritsar Express,Kochuveli,Amritsar Junction,22:30,1001.2
13049,Amritsar Express,Howrah Junction,Amritsar Junction,23:30,1500.9
11057,Amritsar Express,Lokmanyatilak T,Dhule,00:30,1600.3
13005,Amritsar Mail,Howrah Junction,Amritsar Junction,01:30,2000.3
12014,Amritsar Shatabdi,Amritsar Junction,New Delhi,02:30,500.2
12032,Amritsar Shatabdi,Amritsar Junction,New Delhi,22:30,1001.2
12013,Amritsar Shatabdi,New Delhi,Amritsar Junction,22:30,1500.9
12031,Amritsar Shatabdi,New Delhi,Amritsar Junction,23:30,1600.3
22128,Anandwan Express,Kazipet Junction,Lokmanyatilak T,00:30,700.5
22127,Anandwan Express,Lokmanyatilak T,Kazipet Junction,01:30,700.7
16723,Anantapuri Express,Chennai Egmore,Trivandrum Cntl,02:30,2000.3
16724,Anantapuri Express,Trivandrum Cntl,Chennai Egmore,22:30,500.2
12316,Ananya Express,Udaipur City,Sealdah,23:30,1001.2
16031,Andaman Express,Chennai Central,Jammu Tawi,00:30,1500.9
16032,Andaman Express,Jammu Tawi,Chennai Central,01:30,1600.3
12254,Anga Express,Bhagalpur,Yesvantpur Junction,02:30,700.5
12253,Anga Express,Yesvantpur Junction,Bhagalpur,22:30,700.7
12315,Annanya Express,Sealdah,Udaipur City,22:30,2000.3
4422,Anvt Ald Superfast Special,Anand Vihar Trm,Allahabad Junction,23:30,2000.3
4118,Anvt Ald Special,Anand Vihar Trm,Allahabad Junction,00:30,500.2
4028,Anvt Apdj Special,Anand Vihar Trm,Alipur Duar Junction,01:30,1001.2
3518,Anvt Asn Special,Anand Vihar Trm,Asansol Junction,02:30,1500.9
22406,Anvt Bgp G Rath,Anand Vihar Trm,Bhagalpur,22:30,1600.3
14152,Anvt Cnb Express,Anand Vihar Trm,Kanpur Central,22:30,700.5
12211,Anvt Garib Rath,Muzaffarpur Junction,Anand Vihar Trm,23:30,700.7
22409,Anvt Garib Rath,Gaya Junction,Anand Vihar Trm,00:30,2000.3
2398,Anvt Gaya Special,Anand Vihar Trm,Gaya Junction,01:30,500.2
5028,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,02:30,1001.2
15058,Anvt Gkp Express,Anand Vihar Trm,Gorakhpur Junction,22:30,1500.9
5052,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,23:30,1600.3
5036,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,00:30,700.5
5040,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,01:30,700.7
5050,Anvt Gkp Special,Delhi,Gorakhpur Junction,02:30,2000.3
5058,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,22:30,500.2
12444,Anvt Hlz S F Express,Anand Vihar Trm,Haldia,22:30,2000.3
12040,Anvt Kgm Shatabdi,Anand Vihar Trm,Kathgodam,23:30,500.2
13132,Anvt Koaa Express,Anand Vihar Trm,Kolkata,00:30,1001.2
3126,Anvt Koaa Superfast Special,Anand Vihar Trm,Kolkata,01:30,1500.9
15622,Anvt Kyq Express,Anand Vihar Trm,Kamakhya,02:30,1600.3
15026,Anvt Mau Express,Anand Vihar Trm,Mau Junction,22:30,700.5
13430,Anvt Mldt Express,Anand Vihar Trm,Malda Town,23:30,700.7
3210,Anvt Pnbe Special,Anand Vihar Trm,Patna Junction,00:30,2000.3
2394,Anvt Pnbe Special,Anand Vihar Trm,Patna Junction,01:30,500.2
2365,Anvt Premium,Patna Junction,Anand Vihar Trm,02:30,1001.2
2527,Anvt Premium Special,Gorakhpur Junction,Anand Vihar Trm,22:30,1500.9
22488,Anvt Rdp Link,Anand Vihar Trm,Radhikapur,22:30,2000.3
12428,Anvt Rewa Express,Anand Vihar Trm,Rewa,23:30,500.2
3190,Anvt Sdah Superfast Special,Anand Vihar Trm,Sealdah,00:30,1001.2
22858,Anvt Src Superfast Express,Anand Vihar Trm,Santragachi Junction,01:30,1500.9
8034,Anvt Src Special,Anand Vihar Trm,Santragachi Junction,02:30,1600.3
4403,Anvt Uhp Special,Anand Vihar Trm,Udhampur,22:30,2000.3
12708,Ap Sampark Kranti,H Nizamuddin,Tirupati,22:30,500.2
5711,Apdj Aii Special,Alipur Duar Junction,Ajmer Junction,23:30,1001.2
5817,Apdj Dbb Special,Alipur Duar Junction,Dhubri,00:30,1500.9
12885,Aranyak Express,Shalimar,Bhojudih Junction,01:30,1600.3
12886,Aranyak Express,Bhojudih Junction,Shalimar,02:30,700.5
19707,Aravali Express,Bandra Terminus,Jaipur,22:30,700.7
19708,Aravali Express,Jaipur,Bandra Terminus,23:30,2000.3
12356,Archana Express,Jammu Tawi,Rjndr Ngr Bihar,00:30,500.2
12355,Archna Express,Rjndr Ngr Bihar,Jammu Tawi,01:30,1001.2
3560,Asansol Special,Patna Junction,Asansol Junction,02:30,1500.9
12916,Ashram Express,Delhi,Ahmedabad Junction,22:30,1600.3
12915,Ashram Express,Ahmedabad Junction,Delhi,22:30,700.5
3517,Asn Anvt Special,Asansol Junction,Anand Vihar Trm,23:30,700.7
12361,Asn Cstm Express,Asansol Junction,Mumbai Cst,00:30,2000.3
13509,Asn Gd Express,Asansol Junction,Gonda Junction,01:30,500.2
13507,Asn Gkp Express,Asansol Junction,Gorakhpur Junction,02:30,2000.3
3563,Asn Jp Special,Asansol Junction,Jaipur,22:30,500.2
12376,Asn Mas Express,Asansol Junction,Chennai Central,23:30,1001.2
3555,Asn Mfp Special,Asansol Junction,Muzaffarpur Junction,00:30,1500.9
3511,Asn Pnbe Special,Asansol Junction,Patna Junction,01:30,1600.3
3557,Asn Pnbe Special,Asansol Junction,Patna Junction,02:30,700.5
3516,Asn Puri Special,Asansol Junction,Puri,22:30,700.7
19614,Asr Aii Express,Amritsar Junction,Ajmer Junction,22:30,2000.3
19612,Asr Ajmer Express,Amritsar Junction,Ajmer Junction,23:30,500.2
12242,Asr Cdg Superfast,Amritsar Junction,Chandigarh,00:30,1001.2
14154,Asr Cnb Express,Amritsar Junction,Kanpur Central,01:30,1500.9
15934,Asr Dbrg Express,Amritsar Junction,Dibrugarh,02:30,1600.3
14632,Asr Ddn Express,Amritsar Junction,Dehradun,22:30,700.5
54602,Asr Hsr Passenger,Amritsar Junction,Sadulpur Junction,22:30,700.7
12054,Asr Hw Jnshtbdi,Amritsar Junction,Haridwar Junction,23:30,2000.3
13050,Asr Hwh Express,Amritsar Junction,Howrah Junction,00:30,500.2
13006,Asr Hwh Mail,Amritsar Junction,Howrah Junction,01:30,2000.3
19326,Asr Indb Express,Amritsar Junction,Indore Junction Bg,02:30,500.2
19772,Asr Jaipur Express,Amritsar Junction,Ajmer Junction,22:30,1001.2
19782,Asr Jp Express,Amritsar Junction,Ajmer Junction,23:30,1500.9
12484,Asr Kcvl Express,Amritsar Junction,Kochuveli,00:30,1600.3
15708,Asr Kir Express,Amritsar Junction,Katihar Junction,01:30,700.5
12358,Asr Koaa Superfast Express,Amritsar Junction,Kolkata,02:30,700.7
14616,Asr Lku Express,Amritsar Junction,Lal Kuan,22:30,2000.3
11058,Asr Ltt Express,Amritsar Junction,Lokmanyatilak T,22:30,500.2
12460,Asr Ndls Express,Amritsar Junction,New Delhi,23:30,1001.2
12716,Asr Ned Express,Amritsar Junction,Nanded,00:30,1500.9
12422,Asr Ned Superfast Express,Amritsar Junction,Nanded,01:30,2000.3
14002,Attari Dli Express,Atari,Delhi,02:30,500.2
12953,Aug Kr Raj Express,Mumbai Central,H Nizamuddin,22:30,1001.2
57549,Aurangabad Psgr,Hyderabad Decan,Aurangabad,23:30,1500.9
15910,Avadh Assam Express,Lalgarh Junction,New Tinsukia Junction,00:30,1600.3
15610,Avadh Assam Express,Lalgarh Junction,New Tinsukia Junction,01:30,2000.3
19040,Avadh Express,Muzaffarpur Junction,Bandra Terminus,02:30,500.2
19037,Avadh Express,Bandra Terminus,Gorakhpur Junction,22:30,1001.2
19039,Avadh Express,Bandra Terminus,Muzaffarpur Junction,22:30,1500.9
19038,Avadh Express,Gorakhpur Junction,Bandra Terminus,23:30,1600.3
12962,Avantika Express,Indore Junction Bg,Mumbai Central,00:30,700.5
12961,Avantika Express,Mumbai Central,Indore Junction Bg,01:30,700.7
17619,Awb Ned Express,Aurangabad,Nanded,02:30,2000.3
7505,Awb Qln Special,Aurangabad,Kollam Junction,22:30,500.2
17621,Awb Ru Express,Aurangabad,Renigunta Junction,22:30,1001.2
7405,Awb Tpty Special,Aurangabad,Tirupati,23:30,1500.9
14808,Awr Jp Express,Alwar,Jaipur,00:30,1600.3
4805,Awr Krh Special,Alwar,Khairthal,01:30,700.5
12129,Azad Hind Express,Pune Junction,Howrah Junction,02:30,700.7
12130,Azad Hind Express,Howrah Junction,Pune Junction,22:30,2000.3
12948,Azimabad Express,Patna Junction,Ahmedabad Junction,23:30,500.2
12947,Azimabad Express,Ahmedabad Junction,Patna Junction,00:30,2000.3
15665,B G Express,Kamakhya,Dimapur,01:30,500.2
15666,B G Express,Dimapur,Kamakhya,02:30,1001.2
18450,B Nath Dham Express,Patna Junction,Puri,22:30,1500.9
18449,B Nath Dham Express,Puri,Patna Junction,22:30,1600.3
13019,Bagh Express,Howrah Junction,Kathgodam,23:30,700.5
13020,Bagh Express,Kathgodam,Howrah Junction,00:30,700.7
12577,Bagmati Express,Darbhanga Junction,Mysore Junction,01:30,2000.3
12578,Bagmati Express,Mysore Junction,Darbhanga Junction,02:30,500.2
74639,Bahl Sina,Banihal,Srinagar,22:30,1001.2
19452,Bandra T Express,Gandhidham Bg,Bandra Terminus,23:30,1500.9
6347,Bangalore Express,Eranakulam Junction,Bangalore Cy Junction,00:30,1600.3
6542,Bangalore Express,Villuparam Junction,Bangalore Cy Junction,01:30,700.5
12785,Bangalore Express,Kacheguda,Bangalore Cy Junction,02:30,700.7
12609,Bangalore Express,Chennai Central,Bangalore Cy Junction,22:30,2000.3
6516,Bangalore Express,Tirunelveli,Bangalore Cy Junction,22:30,500.2
16525,Bangalore Express,Kanyakumari,Bangalore Cy Junction,23:30,2000.3
16518,Bangalore Express,Kannur,Bangalore Cy Junction,00:30,500.2
16524,Bangalore Express,Karwar,Bangalore Cy Junction,01:30,1001.2
6590,Bangalore Express,Hubli Junction,Bangalore Cy Junction,02:30,1500.9
16228,Bangalore Express,Talguppa,Bangalore Cy Junction,22:30,1600.3
17236,Bangalore Express,Nagercoil Junction,Bangalore Cy Junction,22:30,2000.3
12678,Bangalore Express,Eranakulam Junction,Bangalore Cy Junction,23:30,500.2
16316,Bangalore Express,Kochuveli,Bangalore Cy Junction,00:30,1001.2
6029,Bangalore Express,Chennai Central,Bangalore Cy Junction,01:30,1500.9
12657,Bangalore Mail,Chennai Central,Bangalore Cy Junction,02:30,1600.3
56263,Bangalore Passenger,Mysore Junction,Bangalore Cy Junction,22:30,700.5
22607,Bangalore Superfast Express,Eranakulam Junction,Bangalore Cy Junction,23:30,700.7
12683,Bangalore Superfast Express,Eranakulam Junction,Bangalore Cy Junction,00:30,2000.3
12494,Banglore Rajdhn,H Nizamuddin,Bangalore Cy Junction,01:30,500.2
22694,Banglore Rajdhn,H Nizamuddin,Bangalore Cy Junction,02:30,1001.2
22692,Banglore Rajdhani,H Nizamuddin,Bangalore Cy Junction,22:30,1500.9
13241,Banka Rjpb Express,Banka,Rjndr Ngr Bihar,22:30,1600.3
15694,Barak Valley Express,Silchar,Lumding Junction,23:30,700.5
15693,Barak Valley Express,Lumding Junction,Silchar,00:30,700.7
14555,Bareilly Dli Express,Bareilly,Delhi,01:30,2000.3
14556,Bareilly Express,Delhi,Bareilly,02:30,500.2
14313,Bareilly Express,Lokmanyatilak T,Bareilly,22:30,2000.3
14322,Bareilly Express,Bhuj,Bareilly,23:30,500.2
28624,Barka Rjpb Express,Barka Kana,Rjndr Ngr Bihar,00:30,1001.2
14888,Barmer Klk Express,Barmer,Kalka,01:30,1500.9
14805,Barmer Ac Express,Yesvantpur Junction,Barmer,02:30,1600.3
17307,Basava Express,Mysore Junction,Bagalkot,22:30,700.5
17308,Basava Express,Bagalkot,Mysore Junction,22:30,700.7
51029,Bb Bjp Fast Passenger,Mumbai Cst,Bijapur,23:30,2000.3
18404,Bbn Ckp Intercity Express,Barabil,Chakradharpur,00:30,500.2
12021,Bbn Janshatabdi,Howrah Junction,Barabil,01:30,1001.2
12022,Bbn Janshatabdi,Barabil,Howrah Junction,02:30,2000.3
18415,Bbn Puri Express,Barabil,Puri,22:30,500.2
12831,Bbs Garib Rath,Dhanbad Junction,Bhubaneswar,22:30,1001.2
12892,Bbs Bpo Express,Bhubaneswar,Bangriposi,23:30,1500.9
18437,Bbs Bwip Link E,Bhubaneswar,Nilaje,00:30,1600.3
12830,Bbs Chennai Express,Bhubaneswar,Chennai Central,01:30,700.5
1020,Bbs Cstm Special,Bhubaneswar,Mumbai Cst,02:30,700.7
12281,Bbs Duronto Express,Bhubaneswar,New Delhi,22:30,2000.3
12282,Bbs Duronto Express,New Delhi,Bhubaneswar,23:30,500.2
12894,Bbs Express,Balangir,Bhubaneswar,00:30,1001.2
12074,Bbs Jan Shatabd,Bhubaneswar,Howrah Junction,01:30,1500.9
12073,Bbs Jan Shatabd,Howrah Junction,Bhubaneswar,02:30,1600.3
12880,Bbs Ltt Superfast Express,Bhubaneswar,Lokmanyatilak T,22:30,700.5
2815,Bbs Ndls Superfast Special,Bhubaneswar,New Delhi,22:30,700.7
22805,Bbs Ndls Superfast Express,Bhubaneswar,New Delhi,23:30,2000.3
12898,Bbs Pdy Express,Bhubaneswar,Puducherry,00:30,500.2
8449,Bbs Pnbe Special,Bhubaneswar,Patna Junction,01:30,2000.3
12582,Bbs Pune Express,Bhubaneswar,Pune Junction,02:30,500.2
22882,Bbs Pune Express,Bhubaneswar,Pune Junction,22:30,1001.2
2882,Bbs Pune Premiu,Bhubaneswar,Pune Junction,23:30,1500.9
22811,Bbs Rajdhani Express,Bhubaneswar,New Delhi,00:30,1600.3
22823,Bbs Rajdhani Express,Bhubaneswar,New Delhi,01:30,700.5
18496,Bbs Rmm Express,Bhubaneswar,Rameswaram,02:30,700.7
18106,Bbs Rou Intercity Express,Bhubaneswar,Rourkela,22:30,2000.3
22871,Bbs Tpty Express,Bhubaneswar,Tirupati,22:30,500.2
22879,Bbs Tpty Superfast Express,Bhubaneswar,Tirupati,23:30,1001.2
